timestamp,speaker,words,tags,highlight,timelink,timestamp
,Artist Statement,My experience in telling my story was good. In a way talking about yourself that deeply feels like a foreign concept. But in a way something about it was therapeutic. Even if it was just talking into a phone.,,,,
,,"When others are listening and viewing my literal voice, I hope they feel a sense of normality and relatability as I feel like I’m a pretty normal person and the hardships I face are most likely ones that others deal with too, even if not verbally expressed. I believe that hearing or seeing that can give ease to the mind.",,,,
,,In college you are seeking a higher level of thought and want to have a say in what you make and contribute towards. And in an academic setting sometimes those emotions and thoughts are compressed by your peers. So the ability to have a voice is a powerful notion to most.,,,,
[00:00:00],Varney Varney,Alright.,,,0,0:00:00
[00:00:01],Varney Varney,So I'm gonna be answering.,,,1,0:00:01
[00:00:03],Varney Varney,How did you overcome challenges you have faced due to assumptions people have made about you?,question,,3,0:00:03
[00:00:05],Varney Varney,I don't know.,overcoming,,5,0:00:05
[00:00:11],Varney Varney,"I think as an artist and as a designer,",overcoming,,11,0:00:11
[00:00:17],Varney Varney,people may make a lot of assumptions about you.,overcoming,,17,0:00:17
[00:00:19],Varney Varney,"I'm just a white guy from Boulder, Colorado.",overcoming,,19,0:00:19
[00:00:23],Varney Varney,"I'm very loose in the things that I do, very carefree.",overcoming,,23,0:00:23
[00:00:28],Varney Varney,And I think at times maybe people make assumptions.,overcoming,,28,0:00:28
[00:00:31],Varney Varney,I don't put a lot of thought behind the,overcoming,,31,0:00:31
[00:00:34],Varney Varney,decisions I make as a designer or even the,overcoming,,34,0:00:34
[00:00:38],Varney Varney,decisions that I make in everyday life.,overcoming,,38,0:00:38
[00:00:40],Varney Varney,Maybe it's just like things are handed to me.,overcoming,,40,0:00:40
[00:00:44],Varney Varney,I think in a lot of ways that's not,overcoming,,44,0:00:44
[00:00:47],Varney Varney,"true, but I try to look past that.",overcoming,,47,0:00:47
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
